district,year,residue_tonnes
The Dangs,2010,75890.0
The Dangs,2011,115030.0
The Dangs,2012,71930.0
The Dangs,2013,127036.6
The Dangs,2014,69085.6
The Dangs,2015,108756.09999999999
The Dangs,2016,130442.5
The Dangs,2017,115434.1
The Dangs,2018,118795.4
The Dangs,2019,101666.4
The Dangs,2020,120024.1
The Dangs,2021,156623.3
The Dangs,2022,110215.79999999999
Vadodara,2010,3270330.0
Vadodara,2011,3056090.0
Vadodara,2012,3519340.0
Vadodara,2013,3193271.2
Vadodara,2014,1621915.6
Vadodara,2015,1402271.9
Vadodara,2016,1259536.9
Vadodara,2017,1968749.1
Vadodara,2018,1804272.5
Vadodara,2019,1660903.6
Vadodara,2020,1717256.1
Vadodara,2021,547531.76
Vadodara,2022,1898955.4
Valsad,2010,406810.0
Valsad,2011,400190.0
Valsad,2012,249580.0
Valsad,2013,348089.0
Valsad,2014,389293.19999999995
Valsad,2015,381024.1
Valsad,2016,507155.3
Valsad,2017,402021.3
Valsad,2018,408840.1
Valsad,2019,390783.8
Valsad,2020,405359.19999999995
Valsad,2021,398152.4
Valsad,2022,427510.89999999997
